Galactic Longitude,Altitude,Azimuth,Radial Velocity (km/s),Power
0.0,10.37109375,207.8173828125,-612.03345,0.40720272
0.0,10.37109375,207.8173828125,-618.21686,0.4264207
0.0,10.37109375,207.8173828125,-624.4003,0.4206357
0.0,10.37109375,207.8173828125,-628.52264,0.39159727
0.0,10.37109375,207.8173828125,-636.7672,0.42787075
0.0,10.37109375,207.8173828125,-640.8896,0.39881516
0.0,10.37109375,207.8173828125,-647.073,0.39424276
0.0,10.37109375,207.8173828125,-651.1953,0.38066053
0.0,10.37109375,207.8173828125,-655.3176,0.42183542
0.0,10.37109375,207.8173828125,-659.43994,0.43210268
0.0,10.37109375,207.8173828125,-667.6845,0.40243673
0.0,10.37109375,207.8173828125,-671.8068,0.40010357
0.0,10.37109375,207.8173828125,-680.05145,0.42164946
0.0,10.37109375,207.8173828125,-686.2349,0.3948722
0.0,10.37109375,207.8173828125,-694.47955,0.44029856
0.0,10.37109375,207.8173828125,-706.84644,0.3810506
0.0,10.37109375,207.8173828125,-710.96875,0.41298342
0.0,10.37109375,207.8173828125,-715.091,0.40057373
0.0,10.37109375,207.8173828125,-725.3968,0.43111897
0.0,10.37109375,207.8173828125,-731.58026,0.3959751
0.0,10.37109375,207.8173828125,-737.76373,0.37948895
0.0,10.37109375,207.8173828125,-741.886,0.40205717
0.0,10.37109375,207.8173828125,-754.2529,0.41152382
0.0,10.37109375,207.8173828125,-762.4975,0.42466354
0.0,10.37109375,207.8173828125,-766.6199,0.4405074
0.0,10.37109375,207.8173828125,-772.80334,0.41344213
0.0,10.37109375,207.8173828125,-776.9256,0.39761734
0.0,10.37109375,207.8173828125,-785.17017,0.3806672
0.0,10.37109375,207.8173828125,-789.29254,0.38138342
0.0,10.37109375,207.8173828125,-795.476,0.378057
0.0,10.37109375,207.8173828125,-799.59827,0.37664557
0.0,10.37109375,207.8173828125,-803.7206,0.39889145
0.0,10.37109375,207.8173828125,-811.9652,0.3806467
0.0,10.37109375,207.8173828125,-822.271,0.38602638
0.0,10.37109375,207.8173828125,-826.39325,0.37626648
0.0,10.37109375,207.8173828125,-832.5767,0.41102123
0.0,10.37109375,207.8173828125,-838.7602,0.3610773
0.0,10.37109375,207.8173828125,-847.00476,0.40218258
0.0,10.37109375,207.8173828125,-857.3105,0.39610672
0.0,10.37109375,207.8173828125,-863.49396,0.36091375
0.0,10.37109375,207.8173828125,-867.61633,0.35218906
0.0,10.37109375,207.8173828125,-873.7998,0.38044262
0.0,10.37109375,207.8173828125,-877.92206,0.38563108
0.0,10.37109375,207.8173828125,-890.289,0.33771563
0.0,10.37109375,207.8173828125,-894.4113,0.32525587
0.0,10.37109375,207.8173828125,-898.53357,0.32846117
0.0,10.37109375,207.8173828125,-906.7782,0.36825132
0.0,10.37109375,207.8173828125,-910.9005,0.41464138
0.0,10.37109375,207.8173828125,-915.02277,0.34158373
0.0,10.37109375,207.8173828125,-919.14514,0.35872698
0.0,10.37109375,207.8173828125,-925.3286,0.34323263
0.0,10.37109375,207.8173828125,-933.5732,0.35067415
0.0,10.37109375,207.8173828125,-941.8178,0.33978415
0.0,10.37109375,207.8173828125,-945.9401,0.34515572
0.0,10.37109375,207.8173828125,-952.1236,0.36569262
0.0,10.37109375,207.8173828125,-958.30695,0.3590746
0.0,10.37109375,207.8173828125,-964.4904,0.3975048
0.0,10.37109375,207.8173828125,-972.73505,0.808311
0.0,10.37109375,207.8173828125,-980.97974,0.46602678
0.0,10.37109375,207.8173828125,-987.1631,0.5466118
0.0,10.37109375,207.8173828125,-997.46893,0.7531862
0.0,10.37109375,207.8173828125,-1001.5912,0.6886525
0.0,10.37109375,207.8173828125,-1013.9581,0.7870507
0.0,10.37109375,207.8173828125,-1022.2027,0.9328971
0.0,10.37109375,207.8173828125,-1026.3251,0.9975667
0.0,10.37109375,207.8173828125,-1032.5085,1.1669445
0.0,10.37109375,207.8173828125,-1036.6307,1.2720466
0.0,10.37109375,207.8173828125,-1044.8754,1.3742876
0.0,10.37109375,207.8173828125,-1048.9977,1.2960434
3.111111111111111,12.98583984375,207.8173828125,925.58624,0.5430162
3.111111111111111,12.98583984375,207.8173828125,917.34155,0.24191403
3.111111111111111,12.98583984375,207.8173828125,913.2193,0.24702811
3.111111111111111,12.98583984375,207.8173828125,904.97473,0.24008965
3.111111111111111,12.98583984375,207.8173828125,898.79126,0.24407244
3.111111111111111,12.98583984375,207.8173828125,892.6078,0.22446847
3.111111111111111,12.98583984375,207.8173828125,886.4243,0.28441262
3.111111111111111,12.98583984375,207.8173828125,882.30206,0.2660327
3.111111111111111,12.98583984375,207.8173828125,876.1186,0.2561822
3.111111111111111,12.98583984375,207.8173828125,869.9351,0.23638368
3.111111111111111,12.98583984375,207.8173828125,861.69055,0.23939443
3.111111111111111,12.98583984375,207.8173828125,853.44586,0.5213556
3.111111111111111,12.98583984375,207.8173828125,849.3236,0.25439048
3.111111111111111,12.98583984375,207.8173828125,845.20123,0.24883056
3.111111111111111,12.98583984375,207.8173828125,839.01776,0.27004266
3.111111111111111,12.98583984375,207.8173828125,826.65094,0.27923083
3.111111111111111,12.98583984375,207.8173828125,820.46747,0.2402072
3.111111111111111,12.98583984375,207.8173828125,814.284,0.52333236
3.111111111111111,12.98583984375,207.8173828125,810.1616,0.27213192
3.111111111111111,12.98583984375,207.8173828125,806.03937,0.3037157
3.111111111111111,12.98583984375,207.8173828125,797.7948,0.27219725
3.111111111111111,12.98583984375,207.8173828125,789.5502,0.30768156
3.111111111111111,12.98583984375,207.8173828125,777.1833,0.3061056
3.111111111111111,12.98583984375,207.8173828125,770.9998,0.32500553
3.111111111111111,12.98583984375,207.8173828125,766.87744,0.34241033
3.111111111111111,12.98583984375,207.8173828125,760.6941,0.31566095
3.111111111111111,12.98583984375,207.8173828125,756.5717,0.3033669
3.111111111111111,12.98583984375,207.8173828125,752.4494,0.3231833
3.111111111111111,12.98583984375,207.8173828125,746.266,0.35115743
3.111111111111111,12.98583984375,207.8173828125,738.02136,0.39175367
3.111111111111111,12.98583984375,207.8173828125,731.8379,0.33984137
3.111111111111111,12.98583984375,207.8173828125,725.6544,0.32810783
3.111111111111111,12.98583984375,207.8173828125,717.40985,0.32766795
3.111111111111111,12.98583984375,207.8173828125,713.28754,0.32412863
3.111111111111111,12.98583984375,207.8173828125,709.1652,0.3559134
3.111111111111111,12.98583984375,207.8173828125,705.0429,0.3192711
3.111111111111111,12.98583984375,207.8173828125,698.85944,0.3553667
3.111111111111111,12.98583984375,207.8173828125,694.7372,0.29816604
3.111111111111111,12.98583984375,207.8173828125,680.3091,0.3133614
3.111111111111111,12.98583984375,207.8173828125,672.0645,0.29534316
3.111111111111111,12.98583984375,207.8173828125,663.8199,0.29252362
3.111111111111111,12.98583984375,207.8173828125,653.5141,0.29469633
3.111111111111111,12.98583984375,207.8173828125,643.2084,0.283983
3.111111111111111,12.98583984375,207.8173828125,639.08606,0.28426194
3.111111111111111,12.98583984375,207.8173828125,634.96375,0.25551105
3.111111111111111,12.98583984375,207.8173828125,630.84143,0.26402354
3.111111111111111,12.98583984375,207.8173828125,626.7191,0.27043414
3.111111111111111,12.98583984375,207.8173828125,614.3522,0.2336371
3.111111111111111,12.98583984375,207.8173828125,610.2299,0.21308684
3.111111111111111,12.98583984375,207.8173828125,604.04645,0.23287892
3.111111111111111,12.98583984375,207.8173828125,597.863,0.22934341
3.111111111111111,12.98583984375,207.8173828125,593.7407,0.2280004
3.111111111111111,12.98583984375,207.8173828125,589.6184,0.22032237
3.111111111111111,12.98583984375,207.8173828125,-26.666159,1.7229686
3.111111111111111,12.98583984375,207.8173828125,-39.033073,1.8864968
3.111111111111111,12.98583984375,207.8173828125,-972.73505,0.2184887
3.111111111111111,12.98583984375,207.8173828125,-997.46893,0.22586823
3.111111111111111,12.98583984375,207.8173828125,-1026.3251,0.26574373
3.111111111111111,12.98583984375,207.8173828125,-1036.6307,0.44050074
3.111111111111111,12.98583984375,207.8173828125,-1042.8142,0.4919691
3.111111111111111,12.98583984375,207.8173828125,-1048.9977,0.43650913
3.111111111111111,12.98583984375,207.8173828125,-1053.12,0.33643627
6.222222222222222,15.79833984375,207.8173828125,925.58624,0.65138197
6.222222222222222,15.79833984375,207.8173828125,921.4639,0.3017254
6.222222222222222,15.79833984375,207.8173828125,917.34155,0.31057286
6.222222222222222,15.79833984375,207.8173828125,913.2193,0.32085848
6.222222222222222,15.79833984375,207.8173828125,904.97473,0.31508422
6.222222222222222,15.79833984375,207.8173828125,898.79126,0.3165257
6.222222222222222,15.79833984375,207.8173828125,892.6078,0.31100774
6.222222222222222,15.79833984375,207.8173828125,886.4243,0.38303614
6.222222222222222,15.79833984375,207.8173828125,882.30206,0.3471918
6.222222222222222,15.79833984375,207.8173828125,876.1186,0.32647538
6.222222222222222,15.79833984375,207.8173828125,869.9351,0.30876708
6.222222222222222,15.79833984375,207.8173828125,861.69055,0.3170557
6.222222222222222,15.79833984375,207.8173828125,853.44586,0.63981485
6.222222222222222,15.79833984375,207.8173828125,849.3236,0.3281784
6.222222222222222,15.79833984375,207.8173828125,845.20123,0.31954455
6.222222222222222,15.79833984375,207.8173828125,836.95667,0.3307569
6.222222222222222,15.79833984375,207.8173828125,828.71204,0.34598708
6.222222222222222,15.79833984375,207.8173828125,820.46747,0.30693793
6.222222222222222,15.79833984375,207.8173828125,814.284,0.62497616
6.222222222222222,15.79833984375,207.8173828125,810.1616,0.35169578
6.222222222222222,15.79833984375,207.8173828125,806.03937,0.3680029
6.222222222222222,15.79833984375,207.8173828125,789.5502,0.3702562
6.222222222222222,15.79833984375,207.8173828125,777.1833,0.37104797
6.222222222222222,15.79833984375,207.8173828125,770.9998,0.3992207
6.222222222222222,15.79833984375,207.8173828125,766.87744,0.4071231
6.222222222222222,15.79833984375,207.8173828125,760.6941,0.37306213
6.222222222222222,15.79833984375,207.8173828125,756.5717,0.3698206
6.222222222222222,15.79833984375,207.8173828125,752.4494,0.38566852
6.222222222222222,15.79833984375,207.8173828125,746.266,0.40956044
6.222222222222222,15.79833984375,207.8173828125,738.02136,0.45634484
6.222222222222222,15.79833984375,207.8173828125,731.8379,0.40236568
6.222222222222222,15.79833984375,207.8173828125,725.6544,0.3806696
6.222222222222222,15.79833984375,207.8173828125,717.40985,0.3864193
6.222222222222222,15.79833984375,207.8173828125,713.28754,0.3856771
