radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
198.664694,0.348,-2.827588,0.24,15.711,0.031,6,16.286,0.092,6,NA,NA,0,15.979,0.025,6,15.622,0.084,6,15.491,0.111,6,NA,NA,0,NA,NA,0
198.664706,0.775,-2.808048,0.474,16.903,0.136,5,17.685,0.274,5,NA,NA,0,17.129,0.041,5,16.762,0.081,5,16.17,0.201,1,NA,NA,0,NA,NA,0
198.664981,0.731,-3.284665,0.4,16.865,0.125,2,18.151,0.055,2,NA,NA,0,17.321,0.141,6,16.399,0.198,6,16.084,0.08,4,NA,NA,0,NA,NA,0
198.665203,0.494,-3.093845,0.201,15.367,0.051,6,15.938,0.074,6,NA,NA,0,15.609,0.027,6,15.195,0.066,6,15.194,0.14,6,NA,NA,0,NA,NA,0
198.666888,0.272,-3.245556,0.259,14.133,0.009,6,14.755,0.02,6,NA,NA,0,14.383,0.018,6,13.966,0.043,6,13.878,0.047,6,NA,NA,0,NA,NA,0
198.669375,0.512,-3.450697,0.346,16.662,0.083,6,17.05,0.124,6,NA,NA,0,16.847,0.097,6,16.554,0.105,6,16.093,0.038,3,NA,NA,0,NA,NA,0
198.66961,0.139,-2.978092,0.106,11.135,0.015,6,11.693,0.017,6,NA,NA,0,11.377,0.007,6,11.003,0.036,6,10.919,0.049,8,10.846,0.008,3,NA,NA,0
198.66995,0.564,-3.225858,0.522,17.256,0.157,1,17.76,0.189,1,NA,NA,0,17.257,0.051,2,17.085,0.008,2,NA,NA,0,NA,NA,0,NA,NA,0
198.670109,0.878,-3.032859,0.53,16.818,0.148,2,17.807,0.069,2,NA,NA,0,17.486,0.107,5,16.703,0.196,5,16.484,0.269,1,NA,NA,0,NA,NA,0
198.670118,0.361,-3.259243,0.256,15.692,0.028,6,16.361,0.063,6,NA,NA,0,15.974,0.038,6,15.581,0.044,6,15.41,0.113,6,NA,NA,0,NA,NA,0
198.674052,0.703,-2.751765,0.661,17.228,0.194,1,17.631,0.208,1,NA,NA,0,17.637,0.176,3,16.648,0.264,3,NA,NA,0,NA,NA,0,NA,NA,0
198.674158,0.897,-3.207019,0.458,17.127,0.167,3,17.885,0.157,3,NA,NA,0,17.441,0.055,5,17.054,0.014,5,16.419,0.254,1,NA,NA,0,NA,NA,0
198.67527,0.769,-2.7751,0.517,16.552,0.101,5,17.361,0.249,5,NA,NA,0,16.984,0.162,6,16.509,0.128,6,16.101,0.315,4,NA,NA,0,NA,NA,0
198.67944,0.571,-3.480047,0.262,16.461,0.144,6,17.07,0.082,6,NA,NA,0,16.679,0.054,6,16.131,0.137,6,16.214,0.08,4,NA,NA,0,NA,NA,0
198.682344,0.577,-2.689433,0.34,16.959,0.073,5,17.507,0.122,5,NA,NA,0,17.206,0.147,6,16.683,0.164,6,NA,NA,0,NA,NA,0,NA,NA,0
198.683523,0.324,-3.504813,0.321,16.436,0.085,1,18.154,0.256,1,NA,NA,0,17.263,0.071,6,15.737,0.056,6,14.724,0.109,6,NA,NA,0,NA,NA,0
198.687805,0.373,-3.090494,0.364,14.495,0.032,6,15.235,0.035,6,NA,NA,0,14.838,0.023,6,14.329,0.061,6,14.136,0.05,6,NA,NA,0,NA,NA,0
198.688331,0.37,-2.874872,0.234,14.979,0.035,6,16.493,0.104,6,NA,NA,0,15.735,0.033,6,14.367,0.028,6,13.396,0.028,6,12.656,0.066,2,NA,NA,0
198.68885,0.703,-3.406833,0.406,17.064,0.04,3,17.439,0.144,3,NA,NA,0,17.281,0.221,5,16.806,0.082,5,NA,NA,0,NA,NA,0,NA,NA,0
198.689224,0.159,-3.132234,0.13,10.868,0.021,10,11.835,0.02,6,NA,NA,0,11.301,0.021,4,10.577,0.055,8,10.345,0.06,8,10.158,0.041,4,NA,NA,0
198.692849,0.409,-3.012218,0.299,16.096,0.078,6,16.857,0.048,6,NA,NA,0,16.426,0.07,6,15.826,0.108,6,15.649,0.108,6,NA,NA,0,NA,NA,0
198.693052,0.417,-2.839927,0.369,15.738,0.048,6,16.328,0.041,6,NA,NA,0,16.042,0.041,6,15.647,0.052,6,15.601,0.18,6,NA,NA,0,NA,NA,0
198.696833,0.446,-3.207726,0.276,15.809,0.088,6,16.729,0.066,6,NA,NA,0,16.226,0.066,6,15.604,0.084,6,15.422,0.094,6,NA,NA,0,NA,NA,0
198.698276,0.334,-3.257433,0.211,15.282,0.036,6,16.089,0.059,6,NA,NA,0,15.626,0.038,6,15.061,0.066,6,14.929,0.066,6,NA,NA,0,NA,NA,0
198.699708,0.504,-2.905112,0.352,16.354,0.13,6,16.997,0.204,6,NA,NA,0,16.525,0.116,6,16.189,0.097,6,15.888,0.122,4,NA,NA,0,NA,NA,0
198.700846,1.238,-2.80823,0.371,16.939,0.291,3,17.61,0.183,3,NA,NA,0,17.169,0.228,6,16.483,0.248,6,15.876,0.31,3,NA,NA,0,NA,NA,0
198.701924,0.674,-2.925938,0.341,NA,NA,0,NA,NA,0,NA,NA,0,17.633,0.028,2,16.616,0.054,2,16.24,0.239,1,NA,NA,0,NA,NA,0
198.703722,0.142,-2.633115,0.104,NA,NA,0,NA,NA,0,NA,NA,0,17.72,0.274,1,17.281,0.287,1,NA,NA,0,NA,NA,0,NA,NA,0
198.704385,0.796,-2.838124,0.597,16.703,0.192,1,17.515,0.3,1,NA,NA,0,17.418,0.227,3,17.094,0.045,3,16.703,0.32,1,NA,NA,0,NA,NA,0
198.704816,0.12,-2.915536,0.114,11.145,0.019,6,11.619,0.021,6,NA,NA,0,11.335,0.014,5,11.05,0.039,5,10.975,0.065,7,10.917,0.053,4,NA,NA,0
